expiry,type,boughtAt,soldAt,pl
2020-01-02,ce,0.1,31.7,31.599999999999998
2020-01-02,pe,0.2,40.05,39.849999999999994
2020-01-09,ce,0.15,37.1,36.95
2020-01-09,pe,0.1,47.35,47.25
2020-01-16,ce,0.05,40.05,40.0
2020-01-16,pe,0.1,40.75,40.65
2020-01-23,ce,0.1,42.95,42.85
2020-01-23,pe,0.05,40.0,39.95
2020-01-30,ce,0.1,44.65,44.55
2020-01-30,pe,0.1,45.2,45.1
2020-02-06,pe,0.15,46.8,46.65
2020-02-20,ce,0.1,41.6,41.5
2020-02-20,pe,0.05,43.25,43.2
2020-02-27,ce,0.15,44.9,44.75
2020-02-27,pe,0.2,43.45,43.25
2020-03-05,ce,0.15,30.0,29.85
2020-03-05,pe,0.05,40.25,40.2
2020-03-19,ce,0.05,42.8,42.75
2020-03-26,ce,0.2,46.65,46.449999999999996
2020-04-01,ce,0.15,35.8,35.65
2020-04-09,pe,0.1,32.6,32.5
2020-04-23,ce,0.1,40.05,39.949999999999996
2020-04-23,pe,0.05,40.5,40.45
2020-04-30,ce,0.5,35.0,34.5
2020-04-30,pe,0.1,42.4,42.3
2020-05-07,ce,0.1,34.05,33.949999999999996
2020-05-07,pe,0.1,36.65,36.55
2020-05-14,ce,0.15,38.3,38.15
2020-05-14,pe,0.05,37.45,37.400000000000006
2020-05-21,ce,0.1,50.0,49.9
2020-05-21,pe,0.1,50.0,49.9
2020-05-28,pe,0.1,50.0,49.9
2020-06-04,ce,0.35,40.0,39.65
2020-06-04,pe,0.15,48.8,48.65
2020-06-11,ce,0.1,44.3,44.199999999999996
2020-06-11,pe,0.1,46.35,46.25
2020-06-18,ce,0.15,46.05,45.9
2020-06-18,pe,0.2,48.0,47.8
2020-06-25,ce,0.15,33.9,33.75
2020-06-25,pe,0.15,38.45,38.300000000000004
2020-07-02,ce,0.05,37.45,37.400000000000006
2020-07-02,pe,0.1,45.25,45.15
2020-07-09,ce,0.2,42.35,42.15
2020-07-09,pe,0.1,36.6,36.5
2020-07-16,ce,0.1,47.5,47.4
2020-07-16,pe,0.3,47.5,47.2
2020-07-23,ce,0.15,44.0,43.85
2020-07-23,pe,0.15,46.55,46.4
2020-07-30,ce,0.2,45.1,44.9
2020-07-30,pe,0.2,40.25,40.05
2020-08-06,ce,0.2,39.95,39.75
2020-08-06,pe,0.1,41.15,41.05
2020-08-13,ce,0.15,45.15,45.0
2020-08-13,pe,0.1,41.35,41.25
2020-08-20,ce,0.2,33.7,33.5
2020-08-20,pe,0.1,44.9,44.8
2020-08-27,ce,15.05,43.75,28.7
2020-08-27,pe,0.15,49.75,49.6
2020-09-03,ce,0.1,48.1,48.0
2020-09-03,pe,0.1,40.0,39.9
2020-09-10,ce,0.15,45.0,44.85
2020-09-10,pe,0.25,45.85,45.6
2020-09-17,ce,0.1,34.05,33.949999999999996
2020-09-17,pe,0.1,43.05,42.949999999999996
2020-09-24,ce,0.15,36.2,36.050000000000004
2020-09-24,pe,0.2,44.05,43.849999999999994
2020-10-01,ce,0.25,50.0,49.75
2020-10-01,pe,0.2,50.0,49.8
2020-10-08,ce,0.25,45.1,44.85
2020-10-08,pe,0.15,49.6,49.45
2020-10-15,ce,0.2,35.45,35.25
2020-10-15,pe,0.3,50.0,49.7
2020-10-22,ce,0.25,48.75,48.5
2020-10-22,pe,0.15,46.65,46.5
2020-10-29,ce,0.15,46.8,46.65
2020-10-29,pe,0.15,34.25,34.1
2020-11-05,ce,0.2,50.0,49.8
2020-11-05,pe,0.05,38.45,38.400000000000006
2020-11-12,ce,0.2,44.1,43.9
2020-11-12,pe,0.1,41.8,41.699999999999996
2020-11-19,ce,0.3,48.5,48.2
2020-11-19,pe,0.1,48.35,48.25
2020-11-26,ce,0.2,41.0,40.8
2020-11-26,pe,0.15,40.4,40.25
2020-12-03,ce,0.25,43.85,43.6
2020-12-03,pe,0.2,45.5,45.3
2020-12-10,ce,0.25,47.3,47.05
2020-12-10,pe,0.25,44.25,44.0
2020-12-17,ce,0.15,50.0,49.85
2020-12-17,pe,0.2,44.95,44.75
2020-12-24,ce,0.3,49.0,48.7
2020-12-24,pe,0.2,40.0,39.8
2020-12-31,ce,0.2,48.7,48.5
2020-12-31,pe,0.15,50.0,49.85
